C.D.S.  -  SIMBAD4 rel 1.7  -  2021.07.09CEST12:11:53

coord 14 05 32.39 + 28 32 58.33 (ICRS, J2000, 2000.0), radius: 466.3949 arcsec
------------------------------------------------------------------------------

Number of objects : 380

 # |dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
---|----------|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
49 |     63.54|Cl* NGC 5466 FSBRGB 98             |RG*|14 05 36.50 +28 32 25.1                |     ~|17.686|16.988|     ~|16.110|~              |   1|   0
50 |     66.03|Cl* NGC 5466 NH 41                 |BS*|14 05 27.54 +28 32 41.7                |     ~|19.942|19.738|     ~|19.325|~              |   2|   0
51 |     69.54|Cl* NGC 5466 FSBRGB 70             |RG*|14 05 27.14 +28 32 51.2                |     ~|17.134|16.375|     ~|15.483|~              |   2|   0
52 |     70.67|Cl* NGC 5466 FSBRGB 21             |RG*|14 05 27.29 +28 33 20.2                |     ~|15.954|15.039|     ~|13.960|~              |   1|   0
53 |     71.09|Cl* NGC 5466 FSBHB V8              |HB*|14 05 29.81 +28 31 55.9                |     ~|16.871|16.536|     ~|     ~|~              |   1|   0
54 |     71.12|[SMW2010] 888                      |*  |14 05 36.45 +28 33 45.2                |     ~|18.64 |18.08 |     ~|17.28 |~              |   1|   0
55 |     71.86|Cl* NGC 5466 FSBRGB 41             |RG*|14 05 33.53 +28 34 08.6                |     ~|16.686|15.876|     ~|14.925|~              |   2|   0
56 |     72.19|Gaia DR2 1452626285323492608       |*  |14 05 33.2640528887 +28 31 47.067469384|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
57 |     73.02|2MASS J14053444+2834063            |RG*|14 05 34.4336437741 +28 34 06.209820555|     ~|15.485|14.427|     ~|13.292|~              |   7|   0
58 |     74.53|Cl* NGC 5466 NH 1                  |BS*|14 05 37.81 +28 32 37.0                |     ~|19.145|19.018|     ~|18.761|~              |   3|   0
59 |     74.84|Cl* NGC 5466 FSBHB 65              |HB*|14 05 27.62 +28 32 17.7                |     ~|16.75 |16.569|     ~|16.450|~              |   2|   0
60 |     75.14|[SMW2010] 1344                     |*  |14 05 26.71 +28 32 51.6                |     ~|18.66 |18.20 |     ~|17.34 |~              |   1|   0
61 |     75.73|Cl* NGC 5466 SXP 2                 |SX*|14 05 29.05 +28 31 56.7                |     ~|19.721|19.656|     ~|18.822|~              |   5|   0
62 |     75.79|Cl* NGC 5466 FSBHB V21             |HB*|14 05 31.91 +28 31 42.8                |     ~|16.799|16.425|     ~|     ~|~              |   2|   0
63 |     76.16|Cl* NGC 5466 FSBHB 52              |HB*|14 05 26.94 +28 33 23.7                |     ~|16.772|16.754|     ~|16.694|~              |   1|   0
64 |     76.16|Cl* NGC 5466 FSBHB 62              |HB*|14 05 27.53 +28 32 17.1                |     ~|16.704|16.550|     ~|16.340|~              |   1|   0
65 |     76.24|Cl* NGC 5466 NH 57                 |BS*|14 05 26.62 +28 32 52.6                |     ~|19.632|19.566|     ~|19.280|~              |   1|   0
66 |     76.41|Cl* NGC 5466 FSBRGB 86             |RG*|14 05 28.29 +28 32 04.3                |     ~|17.496|16.761|     ~|15.910|~              |   2|   0
67 |     78.92|Cl* NGC 5466 SAW V8                |RR*|14 05 29.7835619121 +28 31 47.276900203|     ~|     ~|     ~|     ~|     ~|~              |   3|   0
68 |     79.10|Cl* NGC 5466 FSBRGB 97             |RG*|14 05 26.40 +28 33 03.6                |     ~|17.675|16.942|     ~|16.077|~              |   1|   0
69 |     79.29|Cl* NGC 5466 FSBRGB 54             |RG*|14 05 32.96 +28 31 39.4                |     ~|16.964|16.125|     ~|15.205|~              |   1|   0
70 |     79.86|Cl* NGC 5466 NH 68                 |BS*|14 05 26.55 +28 33 19.7                |     ~|19.662|19.583|     ~|18.609|~              |   1|   0
71 |     80.77|Cl* NGC 5466 FSBRGB 69             |RG*|14 05 31.92 +28 31 37.8                |     ~|17.126|16.381|     ~|15.469|~              |   2|   0
72 |     81.34|Cl* NGC 5466 FSBHB 39              |HB*|14 05 37.58 +28 32 14.3                |     ~|16.737|16.668|     ~|16.608|~              |   1|   0
73 |     81.65|Cl* NGC 5466 NH 33                 |BS*|14 05 26.26 +28 33 10.3                |     ~|19.117|18.938|     ~|18.615|~              |   2|   0
74 |     81.98|Cl* NGC 5466 FSBHB 61              |HB*|14 05 30.71 +28 31 39.4                |     ~|16.687|16.561|     ~|16.424|~              |   1|   0
