C.D.S.  -  SIMBAD4 rel 1.7  -  2021.07.09CEST12:11:53

coord 14 05 32.39 + 28 32 58.33 (ICRS, J2000, 2000.0), radius: 466.3949 arcsec
------------------------------------------------------------------------------

Number of objects : 380

 # |dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
---|----------|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
334|    304.37|Cl* NGC 5466 NH 12                 |BS*|14 05 22.96 +28 37 36.2                |     ~|19.384|19.194|     ~|18.962|~              |   2|   0
335|    306.03|Cl* NGC 5466 FSBRGB 35             |RG*|14 05 37.22 +28 27 59.0                |     ~|16.602|15.779|     ~|14.783|~              |   1|   0
336|    306.27|Cl* NGC 5466 NH 15                 |BS*|14 05 11.33 +28 30 48.8                |     ~|19.772|19.497|     ~|19.207|~              |   2|   0
337|    307.55|Gaia DR2 1452632912456655744       |*  |14 05 49.0014607291 +28 36 34.448938814|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
338|    312.21|Gaia DR2 1452625769926783360       |*  |14 05 17.8633650223 +28 28 51.720793684|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
339|    317.91|Cl* NGC 5466 FSBHB V16             |RR*|14 05 16.8500752282 +28 28 55.196388236|     ~|16.712|16.37 |     ~|     ~|~              |   9|   0
340|    321.29|FIRST J140515.4+283650             |Rad|14 05 15.49 +28 36 50.0                |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
341|    322.62|Cl* NGC 5466 NH 14                 |BS*|14 05 34.58 +28 27 37.0                |     ~|19.546|19.311|     ~|18.976|~              |   3|   0
342|    323.42|Gaia DR2 1452636829466855424       |*  |14 05 29.9516353482 +28 38 20.152306418|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
343|    331.91|Cl* NGC 5466 CUF e                 |*  |14 05 14.2989988061 +28 36 49.373496157|     ~|17.22 |16.53 |     ~|     ~|~              |   1|   0
344|    334.62|Cl* NGC 5466 NH 64                 |BS*|14 05 30.54 +28 27 24.6                |     ~|18.438|18.401|     ~|17.534|~              |   1|   0
345|    334.74|SDSS J140530.52+282724.5           |QSO|14 05 30.5117664238 +28 27 24.508240745|     ~|19.11 |18.74 |     ~|     ~|~              |   9|   0
346|    336.13|Gaia DR2 1452631022671338240       |*  |14 05 55.4825688023 +28 30 35.603005189|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
347|    337.94|Cl* NGC 5466 FSBRGB 81             |RG*|14 05 07.63 +28 31 30.3                |     ~|17.426|16.715|     ~|15.793|~              |   1|   0
348|    341.38|Cl* NGC 5466 FSBHB 33              |HB*|14 05 28.77 +28 27 20.3                |     ~|16.719|16.559|     ~|16.352|~              |   1|   0
349|    343.56|2MASS J14053119+2827151            |RG*|14 05 31.1835259290 +28 27 15.142465880|     ~|15.000|13.662|     ~|12.278|~              |   6|   0
350|    343.71|NVSS J140506+283225                |Rad|14 05 06.43 +28 32 24.7                |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
351|    345.11|Cl* NGC 5466 CUF d                 |*  |14 05 11.4453778444 +28 36 25.664379858|     ~|19.17 |18.25 |     ~|     ~|~              |   1|   0
352|    350.09|Gaia DR2 1452631022671342336       |*  |14 05 57.0280769093 +28 30 47.412736769|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
353|    360.67|Cl* NGC 5466 FSBRGB 99             |RG*|14 05 12.95 +28 28 44.5                |     ~|17.704|17.002|     ~|16.108|~              |   1|   0
354|    362.45|Cl* NGC 5466 FSBHB 20              |HB*|14 05 11.34 +28 29 05.1                |     ~|16.681|16.573|     ~|16.407|~              |   1|   0
355|    366.85|Gaia DR2 1452629068461141376       |*  |14 05 05.7528445005 +28 31 11.743592496|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
356|    369.83|Gaia DR2 1452636520229217408       |*  |14 05 25.1065541454 +28 38 55.503111937|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
357|    374.33|Cl* NGC 5466 FSBRGB 51             |RG*|14 05 04.01 +28 32 41.4                |     ~|16.888|16.104|     ~|15.166|~              |   1|   0
358|    378.55|Cl* NGC 5466 FSBHB 49              |HB*|14 05 39.30 +28 26 50.9                |     ~|16.755|16.726|     ~|16.624|~              |   1|   0
359|    381.05|Cl* NGC 5466 NH 86                 |BS*|14 05 04.33 +28 31 26.3                |     ~|20.190|19.956|     ~|19.548|~              |   1|   0
360|    382.22|Gaia DR2 1452628965383134976       |*  |14 05 04.2443628251 +28 31 25.986868004|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
361|    383.86|Cl* NGC 5466 CUF b                 |*  |14 05 05.5507466869 +28 35 27.791409865|     ~|17.59 |17.11 |     ~|     ~|~              |   1|   0
362|    390.85|2MASS J14051166+2828187            |RG*|14 05 11.66808 +28 28 18.7608          |     ~|16.326|15.470|     ~|14.446|~              |   3|   0
363|    391.13|Gaia DR2 1452629717001302656       |*  |14 05 03.3586438567 +28 31 36.879346036|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
364|    395.14|Cl* NGC 5466 FSBHB V7              |RR*|14 05 12.3098910763 +28 28 04.928575042|     ~|16.838|16.480|     ~|     ~|~              |  10|   0
365|    398.01|NVSS J140601+283415                |Rad|14 06 01.99 +28 34 17.9                |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
366|    409.04|V* BK Boo                          |RG*|14 05 04.6924669943 +28 36 03.238133377|     ~|14.995|13.743|     ~|12.405|~              |   6|   0
367|    409.38|FIRST J140555.9+283725             |Rad|14 05 55.92 +28 37 25.8                |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
368|    411.62|Cl* NGC 5466 FSBRGB 55             |RG*|14 05 14.08 +28 27 24.9                |     ~|16.958|16.173|     ~|15.215|~              |   1|   0
369|    414.75|Cl* NGC 5466 FSBRGB 43             |RG*|14 05 39.94 +28 26 15.7                |     ~|16.706|15.907|     ~|15.028|~              |   1|   0
370|    416.50|Gaia DR2 1452629717001303168       |*  |14 05 01.3702937463 +28 31 38.388065396|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
371|    424.16|SDSS J140503.52+282950.9           |WD*|14 05 03.5205334158 +28 29 50.862248570|     ~|     ~|     ~|     ~|     ~|DAZ:           |   1|   0
372|    431.17|Cl* NGC 5466 NH 87                 |BS*|14 05 07.83 +28 37 43.4                |     ~|20.321|20.068|     ~|19.130|~              |   1|   0
373|    433.16|Cl* NGC 5466 FSBHB 5               |HB*|14 05 02.68 +28 29 53.1                |     ~|16.688|16.563|     ~|16.311|~              |   1|   0
374|    436.85|Cl* NGC 5466 FSBHB 46              |HB*|14 05 06.56 +28 28 24.6                |     ~|16.751|16.718|     ~|16.608|~              |   1|   0
375|    438.52|GEN# +7.00580067                   |*  |14 05 43.0 +28 39 54                   |     ~|13.96 |13.06 |     ~|     ~|~              |   0|   0
376|    449.50|Gaia DR2 1452625353314434048       |*  |14 05 17.6913627760 +28 26 12.744642591|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
377|    451.83|Cl* NGC 5466 FSBHB 12              |HB*|14 05 14.21 +28 26 35.3                |     ~|16.698|16.641|     ~|16.538|~              |   1|   0
378|    455.64|Gaia DR2 1452642361384703488       |*  |14 05 00.8837289175 +28 36 06.379370933|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
379|    458.03|SDSS J140528.70+284033.8           |QSO|14 05 28.7050366953 +28 40 33.778664765|     ~|20.01 |19.53 |     ~|     ~|~              |   7|   0
380|    458.44|SDSS J140509.40+283842.6           |BiC|14 05 09.405 +28 38 42.60              |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
================================================================================

